season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2024,RD Gaikwad,Chennai Super Kings,412,579,57,18,140.53
2024,D Brevis,Mumbai Indians,59,69,3,5,116.95
2024,V Viyaskanth,Sunrisers Hyderabad,5,7,0,0,140.0
2025,A Raghuvanshi,Kolkata Knight Riders,214,300,30,8,140.19
2024,M Jansen,Sunrisers Hyderabad,13,18,1,1,138.46
2024,D Ferreira,Rajasthan Royals,11,8,0,0,72.73
2024,A Kamboj,Mumbai Indians,2,2,0,0,100.0
2024,Shivam Singh,Punjab Kings,3,2,0,0,66.67
2025,M Theekshana,Rajasthan Royals,27,10,0,0,37.04
2025,MM Ali,Kolkata Knight Riders,14,5,0,0,35.71
2025,HV Patel,Sunrisers Hyderabad,26,21,0,0,80.77
2025,Suryansh Shedge,Punjab Kings,11,7,0,0,63.64
2025,M Jansen,Punjab Kings,63,75,3,4,119.05
2025,LH Ferguson,Punjab Kings,1,4,1,0,400.0
2025,A Kamboj,Chennai Super Kings,12,14,2,0,116.67
2025,V Suryavanshi,Rajasthan Royals,121,252,18,24,208.26
2025,R Powell,Kolkata Knight Riders,5,5,1,0,100.0
2025,KV Sharma,Mumbai Indians,1,1,0,0,100.0
2025,MA Agarwal,Royal Challengers Bengaluru,64,95,10,2,148.44
2025,L Ngidi,Royal Challengers Bengaluru,2,0,0,0,0.0
2007/08,JDP Oram,Chennai Super Kings,12,18,1,1,150.0
2007/08,DJ Thornely,Mumbai Indians,53,39,2,2,73.58
2007/08,RP Singh,Deccan Chargers,24,27,2,1,112.5
2007/08,S Sohal,Kings XI Punjab,8,4,0,0,50.0
2007/08,A Nehra,Mumbai Indians,12,2,0,0,16.67
2007/08,GC Smith,Rajasthan Royals,361,437,53,8,121.05
2007/08,YV Takawale,Mumbai Indians,64,69,7,2,107.81
2007/08,M Muralitharan,Chennai Super Kings,3,0,0,0,0.0
2009,SK Raina,Chennai Super Kings,306,433,37,21,141.5
2009,Joginder Sharma,Chennai Super Kings,18,20,0,1,111.11
2009,RA Jadeja,Rajasthan Royals,265,293,21,6,110.57
2009,LR Shukla,Kolkata Knight Riders,85,83,5,3,97.65
2009,M Kartik,Kolkata Knight Riders,20,21,0,0,105.0
2009,MS Gony,Chennai Super Kings,7,13,0,2,185.71
2009,SM Harwood,Rajasthan Royals,13,8,0,0,61.54
2009,S Sohal,Kings XI Punjab,91,115,9,8,126.37
2009,B Lee,Kings XI Punjab,34,28,2,1,82.35
2009/10,Jaskaran Singh,Deccan Chargers,11,8,0,0,72.73
2009/10,GC Smith,Rajasthan Royals,39,44,7,0,112.82
2009/10,P Dogra,Rajasthan Royals,106,107,4,5,100.94
2009/10,TM Dilshan,Delhi Daredevils,53,44,6,0,83.02
2009/10,RV Uthappa,Royal Challengers Bangalore,218,374,21,27,171.56
2009/10,S Ladda,Delhi Daredevils,9,0,0,0,0.0
2009/10,MM Patel,Rajasthan Royals,5,4,0,0,80.0
2009/10,MD Mishra,Deccan Chargers,142,164,18,6,115.49
2009/10,MC Henriques,Delhi Daredevils,5,11,2,0,220.0
2009/10,R Vinay Kumar,Royal Challengers Bangalore,32,27,1,0,84.38
2009/10,K Goel,Kings XI Punjab,20,18,1,1,90.0
2009/10,MR Marsh,Deccan Chargers,30,28,1,1,93.33
2011,JH Kallis,Kolkata Knight Riders,378,424,46,6,112.17
2011,RV Gomez,Kochi Tuskers Kerala,50,46,4,1,92.0
2011,RE van der Merwe,Delhi Daredevils,16,14,1,0,87.5
2011,AC Gilchrist,Kings XI Punjab,291,378,40,18,129.9
2011,MD Mishra,Pune Warriors,60,67,5,2,111.67
2011,SR Watson,Rajasthan Royals,252,329,31,17,130.56
2011,AC Thomas,Pune Warriors,4,1,0,0,25.0
2011,M Muralitharan,Kochi Tuskers Kerala,7,5,0,0,71.43
2011,I Malhotra,Deccan Chargers,4,7,1,0,175.0
